2001:DF2:EE00::/47,AU,AU-QLD,Brisbane,
202.125.96.0/23,AU,AU-QLD,Brisbane,
2001:DF0:A::/48,SG,,,
203.30.127.0/24,SG,,,
2406:6400::/32,,,,
2401:4601::/32,,,,
61.45.248.0/21,,,,
